Company Name,Primary Category,Key Products / Focus Area,HQ / Location
ideaForge Technology,Defense & Civil,"Mapping, Surveillance, VTOL Drones",Mumbai
Garuda Aerospace,Agriculture,"Kisan Drones, Spraying, Surveillance",Chennai
Zen Technologies,Defense,"Anti-Drone Systems, Simulators",Hyderabad
Paras Aerospace,Agriculture/Defense,"Agricopter V2.1, Drone Cameras",Mumbai
Asteria Aerospace,Enterprise,"A200 Micro Drone, Industrial Analytics",Bengaluru
IoTechWorld Avigation,Agriculture,"Agribot, Surveybot, Heavybot",Gurugram
Marut Drones,Agri & Logistics,"AG-365 (Multi-utility), Seedcopter",Hyderabad
Dhaksha Unmanned Systems,Defense/Agri,"Swarm Drones, DH-AG-H1 Spraying Drone",Chennai
IG Drones,Industrial,"Jaga (AI-on-Edge), Infrastructure Mapping",Ahmedabad
Throttle Aerospace,Logistics/Agri,"Medicopter, Cargo & Delivery Drones",Bengaluru
NewSpace Research,Defense R&D,HAPS (High Altitude Pseudo-Satellite),Bengaluru
Aereo (formerly AUS),Industrial,"Mining & Land Surveying, Aereo ZFR",Bengaluru
TechEagle,Logistics,Last-mile Healthcare Delivery (Vertiplane),Gurugram
General Aeronautics,Agriculture,Krishak Agri-Drone,Bengaluru
Skylark Drones,Software/Analytics,Drone Data Platform (Spectra),Bengaluru
Drone Destination,Training/Agri,"Pilot Training, Drone-as-a-Service",New Delhi
Thanos Technologies,Agriculture,Syena H10 Spraying Drones,Hyderabad
Quidich Innovation Labs,Media/Sports,"Aerial Cinematography, Spatio Analytics",Mumbai
Bharat Electronics (BEL),Defense,"Surveillance UAVs, Tethered Drones",Bengaluru
Hindustan Aeronautics,Defense,"Combat UAVs, Multimodal Drones",Bengaluru
Drona Aviation,Education,DIY Nano Drones (Pluto),Mumbai
Redwing Labs,Healthcare,Medical Supply Logistics,Bengaluru
